GID_2,NAME_2,impact_feature_count,impact_area_km2,pop_exposed,pop_total
VEN.12.23_1,Unión,0,0.0,0.0,6159.493021965027
VEN.12.19_1,SanFrancisco,0,0.0,0.0,426.2346200942993
VEN.8.6_1,PaodeSanJuanBautista,0,0.0,0.0,2280.0183379650116
VEN.8.9_1,Tinaco,0,0.0,0.0,224.75992012023926
VEN.8.1_1,Anzoátegui,0,0.0,0.0,1462.5453128814697
VEN.12.1_1,Acosta,0,0.0,0.0,1340.0245314836502
VEN.12.17_1,Petit,0,0.0,0.0,0.0
VEN.13.9_1,Ortíz,0,0.0,0.0,1033.249141573906
VEN.19.2_1,Araure,0,0.0,0.0,0.0
VEN.19.1_1,AguaBlanca,0,0.0,0.0,0.0
VEN.19.11_1,SanRafaeldeOnoto,0,0.0,0.0,0.0
VEN.24.7_1,LaTrinidad,0,0.0,0.0,18305.87257385254
